,epoch,t_loss,t_acc,t_f1,v_loss,v_acc,v_f1
0,1,0.6929050579138681,0.5155806737588653,0.49114103968827316,0.6908919854485309,0.5281735751295337,0.506410882062898
1,2,0.6857908977261672,0.5448581560283688,0.5235138010188093,0.6900538394488201,0.538050518134715,0.5133148725426356
2,3,0.6747399667476086,0.5696586879432625,0.5469970998052099,0.6860229144442267,0.5578044041450777,0.5434530123888789
3,4,0.6562509600363725,0.5955452127659574,0.576496634412175,0.6849533643747241,0.5673575129533679,0.5529311037214006
4,5,0.6308764788487279,0.6235593971631206,0.6074470877648898,0.6795697712527655,0.5812823834196891,0.554418121750636
5,6,0.5990156017296703,0.6517952127659574,0.6382748981956405,0.6782430818043842,0.5981217616580311,0.5769098813474727
6,7,0.5663262658296747,0.6771719858156028,0.6653476556617556,0.6731356979960604,0.6178756476683938,0.6072193604794044
7,8,0.5332528996340772,0.7000664893617021,0.6903391809530388,0.6757600608576148,0.633419689119171,0.6250730745768225
8,9,0.5058103666660634,0.7197030141843972,0.7097399367614907,0.6857985224130858,0.6330958549222798,0.6124185113607454
9,10,0.4817470465146058,0.7350398936170213,0.7264385005919661,0.6689801626872522,0.6389248704663213,0.631926981059205
10,11,0.4605184920185001,0.7498670212765958,0.7422451785018711,0.6835454680759054,0.6612694300518135,0.651252408983219
11,12,0.4402901291213137,0.7586436170212766,0.7516644759930123,0.7028523959952933,0.6632124352331606,0.6531250317634301
12,13,0.4234938309970477,0.7709663120567376,0.764324023108752,0.691169849485931,0.6675841968911918,0.6591864526796524
13,14,0.4065359461603435,0.7805851063829787,0.774014106667298,0.6858732493430222,0.6704987046632125,0.6616120555456154
14,15,0.3913293612658555,0.7917774822695035,0.7853808192794506,0.7350408464206932,0.6758419689119171,0.6629478832048186
