,epoch,t_loss,t_acc,t_f1,v_loss,v_acc,v_f1
0,1,0.6383099539296611,0.659775641025641,0.40161476146990605,0.6332767666396448,0.6516343825665859,0.44123643590844486
1,2,0.6229545144073335,0.6638840326340326,0.4484110475624668,0.6534074635828956,0.6443704600484262,0.39301940626074366
2,3,0.6075849977684465,0.6750291375291375,0.5086151894545886,0.612660307500322,0.6654055690072639,0.5038800503971833
3,4,0.5847022805736337,0.6901369463869464,0.5744653321962772,0.5952238597102084,0.6887106537530266,0.5920355405856988
4,5,0.5576418382582409,0.7125728438228439,0.623592809819989,0.588909388093625,0.695747578692494,0.6407897583381357
5,6,0.527000030298611,0.7378496503496504,0.6719389893453518,0.566255836163537,0.7111077481840195,0.6430412121766486
6,7,0.48798697374083777,0.7657925407925408,0.711482807811288,0.5782460388490709,0.707702784503632,0.6840326338935392
7,8,0.44907687434227594,0.7911713286713288,0.7449721958033845,0.5551346186864174,0.7222306295399517,0.6941368238855558
8,9,0.39881381118075276,0.8215180652680653,0.7838507290657633,0.5565104623467235,0.7458383777239709,0.7068985436584142
9,10,0.348666763215354,0.8496212121212121,0.8208788411044687,0.5584900654473547,0.7707324455205811,0.7387726739953037
10,11,0.3062858260247535,0.8726981351981352,0.8491678171551426,0.5463553212456784,0.7834443099273608,0.7432395126061099
11,12,0.2689962685368695,0.8914772727272727,0.8716640691852231,0.5658361596071114,0.7950968523002421,0.7666305506007038
12,13,0.23557275960912238,0.9065268065268065,0.8901918221640357,0.5834161714982178,0.7834443099273608,0.7464928720647211
13,14,0.20810414822055742,0.9182983682983683,0.9037659374102817,0.555802084631839,0.8164346246973365,0.78968582987656
14,15,0.18173514265732055,0.928525641025641,0.9170904597293096,0.5894038944931353,0.8088680387409201,0.7830083541390664
